Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Update me on Supply Chain Content,Get updates on DM Content,I agree to pay the amount through cheque,A free copy of Mastering The Interview
1,2,No,No,1,1071,2.0,3,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,1,595,3.0,3,10,0,5,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,520,4.0,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,393,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,1,0,0.0,1,10,12,5,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1136,3.0,1,10,8,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,335,3.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,75,4.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,0,1085,2.0,0,10,14,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,0,214,3.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,1,1158,1.5,3,10,1,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,0,536,3.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,0,161,2.0,4,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,511,2.0,1,10,5,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,1,1110,5.0,3,10,7,5,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,1563,5.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,4,No,No,0,1633,3.5,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,1,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,638,2.0,1,18,5,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,5,No,No,1,1196,5.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,0,1485,6.0,3,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,5,No,No,1,165,3.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,1,895,6.0,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,1,1190,4.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,1,10,1,5,0,No,No,No,No,No,No,No,No,No,No,No,0
0,2,No,No,0,1566,5.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,1,727,5.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,652,4.0,4,10,6,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,767,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,275,3.33,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,273,3.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,1,1207,1.5,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,1638,4.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,0,127,1.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,1,Yes,No,0,100,5.0,1,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,5,No,No,1,160,1.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,3,10,10,0,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,263,1.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,1218,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1091,5.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,3,10,6,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,Yes,No,0,1759,1.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,386,5.0,3,10,1,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1603,5.0,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,73,2.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,77,2.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,232,2.5,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,702,2.0,3,10,6,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,1,No,No,1,614,5.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,Yes,No,0,234,1.0,2,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,0,245,3.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,1,No,No,1,1268,4.0,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,0,56,2.0,2,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,174,2.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,1149,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,471,2.33,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,1010,3.0,3,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,0,No,No,1,1815,3.33,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,0,47,2.0,1,10,1,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,1,1528,1.5,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,1,919,6.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,194,5.0,1,10,11,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,1173,1.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,351,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,381,1.5,1,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,0,65,5.0,4,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,3,10,4,5,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,250,1.0,2,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,3,10,0,5,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,904,4.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,1793,2.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,1841,5.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,1,877,2.67,1,10,0,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,4,10,13,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,1,1411,6.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,1,385,6.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,342,4.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,78,1.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,1,1234,1.67,3,10,9,3,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,14,8.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,77,4.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,1,1299,3.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,457,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,358,5.0,1,29,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,2,No,No,0,205,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,1106,1.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,1,1953,1.8,3,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,1587,2.0,3,10,3,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,1509,2.0,3,10,2,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,0,331,4.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,187,4.0,1,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,1,1407,1.5,0,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,3,10,4,5,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,123,1.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,100,1.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,1164,4.5,3,10,5,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,1,1362,1.0,4,10,14,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,1816,2.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,74,2.33,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,54,6.5,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,66,3.0,3,10,8,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,1,No,No,0,135,6.0,3,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,1,No,No,0,28,6.0,3,10,9,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,116,7.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,0,1054,2.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,1,195,3.0,0,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,732,3.0,3,10,12,5,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,1130,2.33,1,31,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,0,594,4.33,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,354,14.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,217,3.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,2,No,No,1,1837,2.5,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,1226,1.0,0,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,1,631,1.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,891,1.0,0,10,12,3,0,No,No,No,No,No,No,No,No,No,No,No,1
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,60,1.5,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,2,No,No,1,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,96,4.5,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,2,No,No,1,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,1,825,11.0,3,10,4,5,0,No,No,No,No,No,No,No,No,No,No,No,0
0,2,No,No,0,10,5.5,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,1,1154,1.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,3,10,0,5,0,No,No,No,No,No,No,No,No,No,No,No,0
1,4,No,No,1,104,3.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,0,294,2.5,3,10,5,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,228,4.0,3,10,0,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,4,No,No,0,71,3.4,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,43,8.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,294,4.0,3,10,2,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,213,1.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,1,31,1.33,3,10,12,5,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,1,526,2.0,1,31,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,174,4.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,0,12,4.0,1,10,0,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,1,254,1.25,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,1,595,4.0,1,10,0,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,1189,11.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,73,5.0,3,10,8,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,491,3.0,3,10,2,5,0,No,No,No,No,No,No,No,No,No,No,No,1
0,5,Yes,No,1,1281,1.75,2,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,1,117,3.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,263,2.5,3,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,67,4.0,1,10,0,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,866,3.0,3,30,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,0,419,6.0,4,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,5,No,No,0,362,2.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,199,3.0,1,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,1,556,5.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,1,1536,5.0,3,10,7,5,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,1,1088,4.0,1,10,16,5,0,No,No,No,No,No,No,No,No,No,No,No,0
1,4,No,No,1,863,6.0,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,Yes,No,0,1410,4.0,2,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,209,3.0,1,10,5,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,0,58,5.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,90,2.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,1,950,2.33,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,5,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,3,4.0,3,10,9,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,1,901,7.0,3,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,3,10,0,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,445,3.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,1939,2.33,3,10,11,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,199,1.5,3,10,0,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,1,1113,2.63,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,0,43,2.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,5,No,No,1,0,0.0,3,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,3,No,No,1,0,0.0,1,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,4,No,No,1,1216,2.5,3,1,9,5,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,0,35,3.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,0,No,No,1,0,0.0,4,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1226,4.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
2,2,No,No,1,0,0.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,1,1378,4.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,66,10.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,214,1.0,0,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,365,3.0,3,10,8,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,1,274,2.0,3,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,753,15.0,4,10,0,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1289,2.25,3,10,8,5,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,1,472,5.0,3,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,Yes,No,1,1354,4.0,2,10,1,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,1,No,No,1,1102,5.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,1268,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,1,1354,2.5,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,1,1561,1.5,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1128,1.43,3,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,1,1341,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,250,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,Yes,No,0,402,2.0,2,31,11,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,235,1.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,125,3.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,236,2.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
